solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
sac,,1002,150,6.4979418105195075,6.918939729326716,15.161649239338319,0.06216366791590994,0.10549824651670237,0.10167235277273995,0.10199311282526745,0.0,false,false,false,false,false,1,0,1,24,5,7,1,in_progress
sac,,1003,150,-46.39275255933149,-21.750714755578617,12.057980396526556,0.027225964970785395,0.06299728622583145,0.10891229297112559,0.08105258533912034,0.0,false,false,false,false,false,0,1,1,52,5,7,1,in_progress
sac,,1004,150,5.959122727175815,6.64594650410574,15.033066928750742,0.06328183304584666,0.11257431425293837,0.10884630121491433,0.10123019016439255,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sac,,1005,150,3.9094373642802687,6.504374293784542,14.741081938545564,0.06851848057021463,0.13019196990600432,0.13238772356849904,0.09981663752857592,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sac,,1006,150,0.9971372817119748,1.5610955468149708,13.844097456274211,0.04623024928233499,0.07559685395103184,0.13570278337960195,0.09366800506634246,0.0,false,false,false,false,false,1,0,1,23,5,7,1,in_progress
sac,,1007,150,3.7316160788990578,6.655687151922819,14.704756480098766,0.07437548196526295,0.13937549156699772,0.12890840722337746,0.09954684140908901,0.0,false,false,false,false,false,1,0,1,25,5,7,1,in_progress
sac,,1008,150,5.90841972749976,6.3711052538733295,15.152312703638332,0.05923846743003549,0.10931957050176214,0.1167212725585157,0.10211276819239956,0.0,false,false,false,false,false,1,0,1,24,5,7,1,in_progress
sac,,1009,150,8.317534389494721,8.215593980640621,14.963779004190709,0.06063629725627624,0.10239242864742379,0.08277513970469974,0.1003314897969567,0.0,false,false,false,false,false,1,0,1,22,5,7,1,in_progress
sac,,1010,150,3.986755757271972,6.713247113057262,14.771787403746803,0.07173423019491214,0.1346159883239729,0.13174240222712535,0.10004131085291564,0.0,false,false,false,false,false,1,0,1,25,5,7,1,in_progress
sac,,1011,150,-47.27723333233348,-21.702304637227886,11.377924831593456,0.03374246215328095,0.06831879802444056,0.11865896836761305,0.07664194024669586,0.0,false,false,false,false,false,0,1,1,55,5,7,1,in_progress
sac,,1012,150,4.74603018157815,6.8218504680021335,15.0853139527171,0.0625420580512775,0.11604960688065805,0.12116343708189814,0.10183593144693168,0.0,false,false,false,false,false,1,0,1,25,5,7,1,in_progress
sac,,1013,150,5.57668136465325,6.573915647130552,15.038367731198218,0.06261593172468174,0.11517653256732074,0.12167583713043591,0.10149496477333941,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sac,,1014,150,5.386504031708098,6.189348543127574,15.12465144523385,0.06358636597110286,0.11479998911201163,0.11155849453547118,0.10184851207507498,0.0,false,false,false,false,false,1,0,1,25,5,7,1,in_progress
sac,,1015,150,5.356393435452397,5.474223667143016,14.868682120116613,0.05188913443115155,0.07172737765241188,0.08245166311104356,0.09973543455900719,0.0,false,false,false,false,false,1,0,1,24,5,7,1,in_progress
sac,,1016,150,5.856590329528596,7.306661668349813,15.041950133425601,0.06336674698638901,0.10454084332721722,0.10509640121554548,0.10119292419619777,0.0,false,false,false,false,false,1,0,1,24,5,7,1,in_progress
sac,,1017,150,5.77137395358733,7.207143715025612,15.04902195908828,0.06436492679317839,0.11603860148024205,0.1174344544467334,0.10145099821621276,0.0,false,false,false,false,false,1,0,1,26,5,7,1,in_progress
sac,,1018,150,7.2236277156277895,7.551578424548103,14.94439483983088,0.0550319095827825,0.08332499600452761,0.08955564065734432,0.10035094918979649,0.0,false,false,false,false,false,1,0,1,24,5,7,1,in_progress
