decision,step_count,x,z,angle,speed,d,phi,v,tile,d_stop,sigma_stop,duck_threat,hold_steps,duck_x,duck_z,duck_vel,duck_active,crossings,action,wheel_l,wheel_r,r_progress,r_lateral,r_heading,r_time,r_pedestrian,r_stagnation,r_stop_approach,r_steering,r_events,r_total,cumulative_return,terminated,truncated,reason
31,186,0.20555754237531418,1.218871915235491,-1.4977658939604448,0.1020000008633428,-0.02884138845191654,-0.020098663166099793,0.1020000008633428,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=-0.0026666279725286565,0.1701360046863556,0.1698639988899231,0.10197939978736262,-0.0016636513756686897,-0.00020197813053216828,-0.01,0.0,0.0,0.0,0.0,0.0,0.09011377028116176,0.6336530092498689,false,false,in_progress
32,192,0.2070361318383486,1.239218260303189,-1.4985638792672376,0.10200000106544473,-0.029002600605925907,0.0037876977453759346,0.10200000106544473,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.019977667599431256,0.16898113489151,0.17101886868476868,0.10199926938694712,-0.0016823016838137075,-7.173327105162969e-6,-0.01,0.0,0.0,0.0,0.0,0.0,0.09030979437602825,0.7239628036258972,false,false,in_progress
33,198,0.20851138583361029,1.2595648478467614,-1.4980429125245465,0.10200000090897283,-0.0285991976752598,0.032214253194207294,0.10200000090897283,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.04119502427079529,0.16789905726909637,0.1721009463071823,0.10194707982179406,-0.001635828215337171,-0.0005188790544302474,-0.01,0.0,0.0,0.0,0.0,0.0,0.08979237255202664,0.8137551761779238,false,false,in_progress
34,204,0.21001242133735046,1.2799095463779548,-1.495995222949821,0.10200000013706596,-0.027593644093322045,0.06607483941806082,0.10200000013706596,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.06746428620741515,0.16655932366847992,0.17344067990779877,0.10177742102939151,-0.0015228183886978532,-0.002182942202061262,-0.01,0.0,0.0,0.0,0.0,0.0,0.0880716604386324,0.9018268366165563,false,false,in_progress
35,210,0.21157294953527483,1.3002497590730462,-1.492139882268195,0.10199999836802735,-0.025945922442224684,0.09626487711962319,0.10199999836802735,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.10000259946697448,0.16489987075328827,0.17510013282299042,0.101527749980647,-0.001346381782755877,-0.004633463283428075,-0.01,0.0,0.0,0.0,0.0,0.0,0.08554790491446304,0.9873747415310193,false,false,in_progress
36,216,0.21323341491715123,1.3205820393323664,-1.4861308897383056,0.10199999527348305,-0.02361277450202268,0.13233296537146538,0.10199999527348305,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.13005118926343753,0.1633673906326294,0.1766326129436493,0.10110818520446702,-0.0011151262393667449,-0.008756006862002728,-0.01,0.0,0.0,0.0,0.0,0.0,0.08123705210309755,1.0686117936341168,false,false,in_progress
37,222,0.21503892442644643,1.3409019256039474,-1.4778374013100142,0.10199999062792599,-0.02073765078626086,0.19998616289859397,0.10199999062792599,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.1669758813997901,0.1614842265844345,0.17851577699184418,0.09996706214373728,-0.0008601003202658112,-0.019997232675451483,-0.01,0.0,0.0,0.0,0.0,0.0,0.06910972914801998,1.137721522782137,false,false,in_progress
38,228,0.21703895644791715,1.3612035445986082,-1.466820950701278,0.10199998204752896,-0.01671201503739776,0.20786235417509102,0.10199998204752896,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.23777797011100454,0.15787333250045776,0.18212667107582092,0.09980436034542262,-0.0005585828932204176,-0.02160337914160549,-0.01,0.0,0.0,0.0,0.0,0.0,0.06764239831059672,1.2053639210927336,false,false,in_progress
39,234,0.21930124536364629,1.3814775286155268,-1.4520143356922184,0.10199997067839835,-0.01207350935202682,0.2528218643174907,0.10199997067839835,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.24745067546890004,0.15738001465797424,0.18261998891830444,0.09875743491461206,-0.0002915392561469582,-0.03195944753848584,-0.01,0.0,0.0,0.0,0.0,0.0,0.056506448119979256,1.261870369212713,false,false,in_progress
40,240,0.22189025584693492,1.4017123164027794,-1.4346438649656814,0.101999960011023,-0.006608219008222868,0.2923877182515144,0.101999960011023,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.29693586839571856,0.15485627949237823,0.18514372408390045,0.09767091557537083,-8.733711692127605e-5,-0.04274528889216348,-0.01,0.0,0.0,0.0,0.0,0.0,0.04483828956628608,1.3067086587789989,false,false,in_progress
41,246,0.22486107499747704,1.4218944761964778,-1.4140488473810664,0.10199994295092146,-0.0003051595293886386,0.3321114947435101,0.10199994295092146,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.34171680095606843,0.15257243812084198,0.1874275654554367,0.09642626010464993,-1.8624467675339078e-7,-0.055149022470384265,-0.01,0.0,0.0,0.0,0.0,0.0,0.03127705138958891,1.3379857101685877,false,false,in_progress
42,252,0.22828107566477543,1.4420052660953417,-1.390150839706617,0.10199992525120033,0.006824144680622047,0.37968709415008445,0.10199992525120033,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.38774861112606085,0.15022481977939606,0.18977518379688263,0.09473555721100801,-9.313790124412437e-5,-0.07208114473206755,-0.01,0.0,0.0,0.0,0.0,0.0,0.012561274577696341,1.350546984746284,false,false,in_progress
43,258,0.23221340778618485,1.4620220378337847,-1.3629134477173113,0.10199990252084239,0.014732619085554328,0.4186470751863969,0.10199990252084239,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.44345544777148543,0.14738377928733826,0.19261622428894043,0.09319116785835532,-0.0004341001302400793,-0.08763268678106231,-0.01,0.0,0.0,0.0,0.0,0.0,-0.004875619052947066,1.345671365693337,false,false,in_progress
44,264,0.23672663996557886,1.481915691766781,-1.3318974826406966,0.10199987482815519,0.02334445787097884,0.45567217156450657,0.10199987482815519,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.4911956359514491,0.1449490189552307,0.19505098462104797,0.09159236158302965,-0.001089927426579812,-0.10381856396915655,-0.01,0.0,0.0,0.0,0.0,0.0,-0.02331612981270672,1.3223552358806303,false,false,in_progress
45,270,0.24189170311915384,1.501649934059562,-1.2971345534910785,0.10199984457729565,0.032559496694757425,0.4813663100824787,0.10199984457729565,1,,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.5383791352207576,0.14254266023635864,0.19745734333992004,0.09040890471303982,-0.0021202416500318393,-0.11585676224121053,-0.01,0.0,0.0,0.0,0.0,0.0,-0.03756809917820255,1.2847871367024277,false,false,in_progress
46,276,0.2477752584708606,1.5211817738049227,-1.25875351215267,0.10199981355994757,0.042259491220044514,0.5037254287663729,0.10199981355994757,1,0.3311185582404272,false,0,0,0.9477,0.8775,0.02,false,0,v=0.17,w=0.5747420411728664,0.14068816602230072,0.19931183755397797,0.08933045858155132,-0.0035717291963540385,-0.12686965379293313,-0.01,0.0,0.0,0.0,0.0,0.0,-0.051110924407735854,1.2336762122946918,false,false,in_progress
47,282,0.2538825846753318,1.5389550213951997,-1.2201547167609534,0.07083325385550325,0.0515249409534074,0.5255837010422467,0.07083325385550325,1,0.3200254454359635,false,0,0,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.06127297710953675,-0.005309639080504238,-0.13811911340063288,-0.01,0.0,0.0,0.0,0.0,0.0,-0.09215577537160037,1.1415204369230914,false,false,in_progress
48,288,0.2566489009510188,1.5463033458147395,-1.2006266971072033,0.02372193544006331,0.055457353661950363,0.5231990953295461,0.02372193544006331,1,0.3144884594633874,false,0,0,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.020548537671791482,-0.006151036150373278,-0.13686864667682774,-0.01,0.0,0.0,0.0,0.0,0.0,-0.13247114515540953,1.0090492917676819,false,false,in_progress
49,294,0.25760997452219103,1.548751001060678,-1.19235164450764,0.007944429507357768,0.05677581457976408,0.5234662133710882,0.007944429507357768,1,0.31280391553258186,false,0,1,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.006880604277128762,-0.006446986242391503,-0.13700843827053283,-0.01,0.0,0.0,0.0,0.0,0.0,-0.14657482023579557,0.8624744715318863,false,false,in_progress
50,300,0.25793673186051724,1.549568778817128,-1.1888450679709668,0.0026605734476055545,0.057214745975264825,0.5199596368344149,0.0026605734476055545,1,0.31204045626900706,false,0,2,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.002308950024436276,-0.006547054314028165,-0.13517901196848833,-0.01,0.0,0.0,0.0,0.0,0.0,-0.14941711625808024,0.713057355273806,false,false,in_progress
51,306,0.2580468557697434,1.5498423729310034,-1.187359146418251,0.0008910206692084478,0.0573610950440757,0.518473715281699,0.0008910206692084478,1,0.31178440360921095,true,0,3,0.9477,0.8775,0.02,false,0,v=0.0,w=0.0,0.0,0.0,0.0007739196580669684,-0.006580590449310972,-0.13440749671900418,-0.01,0.0,-2.0,0.0,0.0,15.0,12.84978583248975,13.562843187763557,false,false,in_progress
52,312,0.2586876885108867,1.5514216309509443,-1.1835853686820659,0.03146506212974707,0.05821469053098472,0.5232203868945615,0.03146506212974707,1,0.3108742756902014,true,0,3,0.9477,0.8775,0.02,false,0,v=0.17,w=0.6451670335736034,0.13709647953510284,0.20290352404117584,0.02725549419714307,-0.0067779003872366446,-0.13687978663104733,-0.01,0.0,-2.0,0.0,0.0,0.0,-2.126402192821141,11.436440994942416,false,false,in_progress
53,318,0.2635904851930375,1.5630078024608172,-1.1570742920338817,0.07837789014771687,0.06454546876455627,0.5305443377698995,0.07837789014771687,1,0.3020140046664949,true,0,3,0.9477,0.8775,0.02,false,0,v=0.17,w=0.6516087170895124,0.13676795363426208,0.2032320499420166,0.06760341967608975,-0.008332235076072619,-0.1407386471698506,-0.01,0.0,0.0,0.0,0.0,0.0,-0.09146746256983347,11.344973532372583,false,false,in_progress
54,324,0.27105948219935483,1.5791432731431825,-1.1170725962719241,0.094088833655714,0.0735899534212774,0.5321756625268341,0.094088833655714,1,0.28869634367191793,true,0,3,0.9477,0.8775,0.02,false,0,v=0.17,w=0.6676732887357132,0.13594865798950195,0.20405134558677673,0.08107683340163721,-0.010830962489091555,-0.14160546789293743,-0.01,0.0,0.0,0.0,0.0,0.0,-0.08135959698039177,11.263613935392192,false,false,in_progress
55,330,0.2800174090189912,1.5964879391582811,-1.0707083112538025,0.09935036980700163,0.08357760187546062,0.534589054654374,0.09935036980700163,1,0.27362789424458267,true,0,3,0.9477,0.8775,0.02,false,0,v=0.17,w=0.6818565372157198,0.1352253258228302,0.2047746777534485,0.08548881480624837,-0.013970431070505997,-0.14289272867812863,-0.01,0.0,0.0,0.0,0.0,0.0,-0.08137434494238625,11.182239590449806,false,false,in_progress
